Conn ID	Source	Destination	Path								VCID List								Path Cost

1	4	5		4	5							1								1
2	9	6		9	7	6						1	1							2
3	0	13		0	2	5	12	13				1	2	1	1					4
4	6	11		6	4	3	8	11				1	2	1	1					4
5	9	10		9	10							2								1
6	1	12		1	2	5	12					2	3	2						3
7	7	3		7	1	0	3					2	3	3						3
8	2	4		2	5	4						4	3							2
15	13	1		13	12	5	2	1				3	5	4	5					4
17	7	0		7	1	0						6	4							2
18	10	11		10	9	11						1	3							2
23	1	13		1	0	3	8	13				5	4	2	2					4
24	13	11		13	8	11						4	4							2
25	2	4		2	0	3	4					6	5	4						3
26	11	6		11	8	3	4	6				5	6	5	3					4
28	11	8		11	8							6								1
29	4	6		4	6							4								1
31	3	0		3	0							7								1
34	10	6		10	5	4	6					6	6	5						3
42	7	3		7	6	4	3					7	7	7						3
43	12	11		12	13	8	11					6	7	7						3
44	0	1		0	1							7								1
47	9	8		9	11	8						8	8							2
49	0	4		0	3	4						8	8							2
50	13	5		13	12	5						8	7							2
51	7	4		7	6	4						8	9							2
53	6	2		6	7	1	2					10	9	6						3
57	6	3		6	4	3						11	9							2
59	9	5		9	10	5						9	8							2
60	7	0		7	1	0						10	8							2
63	2	11		2	1	7	9	11				11	11	11	10					4
65	11	5		11	9	10	5					12	11	9						3
67	8	13		8	11	12	13					11	13	8						3
70	6	2		6	7	1	2					12	12	12						3
72	13	11		13	12	11						14	12							2
74	6	4		6	4							13								1
76	1	6		1	7	6						13	13							2
77	9	10		9	10							12								1
81	2	1		2	1							13								1
84	5	10		5	10							13								1
89	1	0		1	2	0						14	14							2
95	3	6		3	4	6						14	14							2
96	2	0		2	0							15								1
100	3	4		3	4							15								1
